56003,56009,56013,56019,56021,56025,56029,56031,56033,56035,56043,56001,56017,56023,56027,56041
4,0,0,-1,0,0,-1,0,-1,0,-1,0,0,0,0,0
0,5,0,-1,0,-1,0,-1,0,0,0,-1,0,0,-1,0
0,0,5,0,0,-1,-1,0,0,-1,-1,0,-1,0,0,0
-1,-1,0,5,0,-1,0,0,-1,0,-1,0,0,0,0,0
0,0,0,0,2,0,0,-1,0,0,0,-1,0,0,0,0
0,-1,-1,-1,0,4,0,0,0,0,-1,0,0,0,0,0
-1,0,-1,0,0,0,4,0,0,0,-1,0,-1,0,0,0
0,-1,0,0,-1,0,0,4,0,0,0,-1,0,0,-1,0
-1,0,0,-1,0,0,0,0,2,0,0,0,0,0,0,0
0,0,-1,0,0,0,0,0,0,2,0,0,0,-1,0,0
-1,0,-1,-1,0,-1,-1,0,0,0,6,0,-1,0,0,0
0,-1,0,0,-1,0,0,-1,0,0,0,3,0,0,0,0
0,0,-1,0,0,0,-1,0,0,0,-1,0,3,0,0,0
0,0,0,0,0,0,0,0,0,-1,0,0,0,2,0,-1
0,-1,0,0,0,0,0,-1,0,0,0,0,0,0,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1
